indice;maior_atraso ;margem_bruta_acumulada;prazo_medio_recebimento_vendas;titulos_em_aberto;diferenca_percentual_risco;percentualRisco;faturamento_bruto;margem_bruta;periodo_demonstrativo_em_meses;custos;ano_fundacao;capital_social;score_pontualidade;risco_baixo;risco_medio;risco_muito_baixo;grupo
0;0;252.448.306;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;1766880;0;12;0;2003;90000;1;1;0;0;2
1;0;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
2;4;6.247.772.648;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;2814940;0;7;0;2014;20000;1;1;0;0;2
3;20;0.0;0;0.0;3.962.264.150.943.390;6.037.735.849.056.600;1285274;0;12;0;2013;30000;0;0;0;0;1
4;20;4.540.878.993;20;1486.95;8.301.886.792.452.830;1.698.113.207.547.160;40779757;81459809;9;40680051;2002;75000;1;1;0;0;2
5;0;0.0;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;918476;0;12;0;2011;15000;0;0;1;0;1
6;16;0.0;0;0.0;5.849.056.603.773.580;4.150.943.396.226.410;239016696;-7540544;12;156394112;1982;30515674;0;0;1;0;1
7;4;3.501.754.325;102;208980.0;9.433.962.264.150.940;566.037.735.849.056;11958227;9357949;9;0;2000;120000;1;0;0;1;0
8;43;2.458.177.861;27;6432.0;8.867.924.528.301.880;1.132.075.471.698.110;72479551;6233236;12;-49267738;2000;1000000;1;1;0;0;2
9;24;"1,21E+11";0;22733.33;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
10;7;0.0;0;0.0;6.037.735.849.056.600;3.962.264.150.943.390;4575646;296634;6;-3299332;2011;20000;0;0;1;0;1
11;26;0.0;0;0.0;5.849.056.603.773.580;4.150.943.396.226.410;13871246;-772398;12;-9455401;2009;600000;0;0;1;0;1
12;3;0.0;0;0.0;5.094.339.622.641.500;490.566.037.735.849;0;0;1;0;2017;100000;0;0;1;0;1
13;52;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
14;4;3.145.752.451;0;0.0;7.924.528.301.886.790;2.075.471.698.113.200;36783195;-312950;12;-25744597;1990;530000;1;1;0;0;2
15;28;0.0;0;0.0;6.037.735.849.056.600;3.962.264.150.943.390;538430217;10266414;12;-346633805;1999;100000;0;0;1;0;1
16;19;0.0;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;538430217;10216020;12;-346633805;1992;2000000;0;0;1;0;1
17;2;3.078.937.009;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
18;4;0.0;0;0.0;6.981.132.075.471.690;3.018.867.924.528.300;538430217;10216020;12;-346633805;1992;2000000;0;1;0;0;2
19;5;39.411.837.590.000.000;0;0.0;8.867.924.528.301.880;1.132.075.471.698.110;57950454;18419747;12;39530707;1994;4500000;0;1;0;0;2
20;40;458.051.889;0;12882.35;5.660.377.358.490.560;4.339.622.641.509.430;2915470;1034268;12;-852138;2009;150000;1;0;1;0;1
21;60;3.757.811.558;1;2400.02;4.716.981.132.075.470;5.283.018.867.924.520;1976986;339799;12;832480;2008;50000;0;0;0;0;1
22;18;6.915;0;0.0;6.792.452.830.188.670;320.754.716.981.132;9077423;1182617;12;-6807767;2009;900000;0;0;1;0;1
23;35;3.104.742.762;25;46949.3;5.660.377.358.490.560;4.339.622.641.509.430;282662079;52217624;6;258298725;1996;96791092;0;0;1;0;1
24;6;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
25;14;2.860.282.532;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;30348455;0;12;0;2006;1000000;1;1;0;0;2
26;23;5.536.921.381.000.000;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
27;0;0.0;0;0.0;5.660.377.358.490.560;4.339.622.641.509.430;47730;0;12;0;2008;72400;0;0;1;0;1
28;4;4.412.714.583;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;23161787;5752085;12;14712042;2014;150000;1;1;0;0;2
29;11;5.357.123.203;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
30;0;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
31;9;5.932.736.371;31;5549.21;6.037.735.849.056.600;3.962.264.150.943.390;1011836;-55361;12;-645988;2003;88000;1;0;1;0;1
32;0;3.363.405.629;0;0.0;6.037.735.849.056.600;3.962.264.150.943.390;480000;0;12;0;1997;5000;1;0;1;0;1
33;807;0.0;0;0.0;3.962.264.150.943.390;6.037.735.849.056.600;0;0;1;0;1992;1400000;0;0;0;0;1
34;13;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
35;0;4.737.096.339;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
36;135;387.283.882;0;0.0;5.094.339.622.641.500;490.566.037.735.849;1421389;1387232;12;2554508;2012;100000;1;0;1;0;1
37;3;4.576.666.993;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;3359403;0;12;0;2008;78800;1;1;0;0;2
38;4;5.318.418.028.999.990;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;2316989;0;12;0;2010;99800;1;1;0;0;2
39;17;0.0;0;0.0;3.396.226.415.094.330;660.377.358.490.566;102444;0;7;0;2016;95400;0;0;0;0;1
40;3;0.0;0;0.0;8.490.566.037.735.840;150.943.396.226.415;5159452;0;6;0;1992;200000;0;1;0;0;2
41;0;43.273.421.240.000.000;0;0.0;490.566.037.735.849;5.094.339.622.641.500;172560;0;12;0;2019;5000;1;0;1;0;1
42;2;0.0;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;624350;-3319;12;-431401;2008;40000;0;1;0;0;2
43;0;3.589.796.807;0;0.0;8.301.886.792.452.830;1.698.113.207.547.160;47595914;0;12;0;2006;550000;1;1;0;0;2
44;2;0.0;0;0.0;5.094.339.622.641.500;490.566.037.735.849;756924;0;12;0;1994;30000;0;0;1;0;1
45;43;3.700.701.446;0;2480.0;6.792.452.830.188.670;320.754.716.981.132;2179468;0;12;0;2005;60000;1;0;1;0;1
46;10;3.908.721.543;0;0.0;4.528.301.886.792.450;5.471.698.113.207.540;1019546;0;12;0;2000;10000;1;0;0;0;1
47;3;43.539.221.009.999.900;0;0.0;5.094.339.622.641.500;490.566.037.735.849;311260;0;12;0;2017;10000;1;0;1;0;1
48;3;3.533.614.354;0;0.0;6.981.132.075.471.690;3.018.867.924.528.300;438103964;2916036;12;-27592668;2008;600000;1;1;0;0;2
49;0;0.0;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;0;0;1;0;2008;100000;0;0;1;0;1
50;6;3.720.908.912;0;0.0;5.283.018.867.924.520;4.716.981.132.075.470;43810396;0;12;0;2008;600000;1;0;1;0;1
51;3;4.186.828.305;0;3591.24;7.358.490.566.037.730;2.641.509.433.962.260;3101081;0;12;0;1998;60000;0;1;0;0;2
52;2;5.607.103.857;55;5400.0;6.037.735.849.056.600;3.962.264.150.943.390;6230653;0;12;0;2015;300000;1;0;1;0;1
53;18;448.130.494;21;2192.0;7.358.490.566.037.730;2.641.509.433.962.260;333210;0;1;0;2012;800000;1;1;0;0;2
54;20;0.0;0;0.0;4.528.301.886.792.450;5.471.698.113.207.540;1285274;0;12;0;2013;30000;0;0;0;0;1
55;4;4.752.585.847;0;0.0;7.735.849.056.603.770;2.264.150.943.396.220;117090514;499790;12;-7231554;2011;100000;1;1;0;0;2
56;3;4.227.695.299;12;2916.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
57;6;0.0;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;2876710;0;12;0;1999;30303;0;0;1;0;1
58;18;2.911.279.282;67;100850.04;4.716.981.132.075.470;5.283.018.867.924.520;8983936;0;12;0;2006;95400;0;0;0;0;1
59;5;429.255.171;0;0.0;6.415.094.339.622.640;3.584.905.660.377.350;2498876;0;12;0;2009;95000;1;0;1;0;1
60;18;0.0;0;0.0;4.150.943.396.226.410;5.849.056.603.773.580;10631840;0;12;0;2016;95400;0;0;0;0;1
61;23;0.0;0;0.0;5.471.698.113.207.540;4.528.301.886.792.450;0;0;1;0;2003;150000;0;0;1;0;1
62;36;5.048.304.899;48;95983.74;6.037.735.849.056.600;3.962.264.150.943.390;2920793;-171329;12;235486;2010;50000;1;0;1;0;1
63;8;2.908.974.741;0;0.0;5.094.339.622.641.500;490.566.037.735.849;0;0;1;0;2007;15000;1;0;1;0;1
64;4;5.742.936.507.999.990;105;15520.0;9.433.962.264.150.940;566.037.735.849.056;73828034;1605229;12;-43339992;2004;30000;1;0;0;1;0
65;19;4.798.450.253;41;8880.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
66;3;6.505.242.696;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;3365514;0;12;0;2000;68000;1;1;0;0;2
67;7;38.773.326.729.999.900;63;10368.0;7.169.811.320.754.710;2.830.188.679.245.280;1177807;0;12;0;2012;50000;1;1;0;0;2
68;0;4.679.269.506;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;2518727;0;9;0;2008;99800;1;0;1;0;1
69;19;0.0;0;0.0;6.792.452.830.188.670;320.754.716.981.132;1249651;302367;7;2183996;2008;100000;0;0;1;0;1
70;5;2.815.035.093;0;0.0;3.773.584.905.660.370;6.226.415.094.339.620;1185074;0;12;0;2016;88000;0;0;0;0;1
71;26;0.0;0;0.0;5.471.698.113.207.540;4.528.301.886.792.450;1700308;0;12;0;1989;5000;0;0;1;0;1
72;5;800.299.885;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
73;5;0.0;0;0.0;8.301.886.792.452.830;1.698.113.207.547.160;11235564;-405113;12;6920713;1996;2000000;0;1;0;0;2
74;16;6.387.542.857;23;7000.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
75;4;0.0;0;0.0;6.415.094.339.622.640;3.584.905.660.377.350;3302878;0;12;0;1996;60000;0;0;1;0;1
76;33;0.0;0;0.0;4.528.301.886.792.450;5.471.698.113.207.540;0;0;1;0;2006;300000;0;0;0;0;1
77;33;2.777.430.629;0;0.0;5.094.339.622.641.500;490.566.037.735.849;0;0;1;0;2012;300000;1;0;1;0;1
78;7;4.453.843.288;0;0.0;5.660.377.358.490.560;4.339.622.641.509.430;0;0;1;0;2007;100000;1;0;1;0;1
79;0;0.0;0;0.0;6.792.452.830.188.670;320.754.716.981.132;29348689;0;12;0;2018;600000;0;0;1;0;1
80;38;4.108.242.018;0;0.0;7.924.528.301.886.790;2.075.471.698.113.200;2298496;0;12;0;1991;3000;1;1;0;0;2
81;30;4.744.318.662;65;28154.4;5.471.698.113.207.540;4.528.301.886.792.450;17826063;0;12;0;1995;404000;1;0;1;0;1
82;14;3.233.516.937;49;36118.88;4.528.301.886.792.450;5.471.698.113.207.540;1746101;0;7;0;2017;100000;0;0;0;0;1
83;7;0.0;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;3926252;0;12;0;2014;245000;0;1;0;0;2
84;87;0.0;0;0.0;320.754.716.981.132;6.792.452.830.188.670;214832;0;5;0;2010;100000;0;0;0;0;1
85;3;3.243.299.545;59;8197.2;7.547.169.811.320.750;2.452.830.188.679.240;1746101;0;7;0;2005;200000;1;1;0;0;2
86;5;526.992.319;0;0.0;6.037.735.849.056.600;3.962.264.150.943.390;3809828;0;12;0;2017;20000;1;0;1;0;1
87;28;0.0;0;0.0;6.415.094.339.622.640;3.584.905.660.377.350;5368371;1346068;12;2072196;2012;500000;0;0;1;0;1
88;11;2.655.254.663;8;6400.0;6.037.735.849.056.600;3.962.264.150.943.390;455009;0;12;0;1985;70000;1;0;1;0;1
89;3;37.377.278.840.000.000;0;21416.0;9.056.603.773.584.900;943.396.226.415.094;40826415;3505804;12;26745259;2003;4500000;1;0;0;1;0
90;4;3.732.162.181;9;5666.66;8.301.886.792.452.830;1.698.113.207.547.160;35478786;0;12;0;2007;100000;1;1;0;0;2
91;7;3.063.343.254;0;0.0;5.283.018.867.924.520;4.716.981.132.075.470;4036098;729740;5;4221383;2015;210000;0;0;1;0;1
